X,municipality,district,region,latitude,longitude,ind_machine,ind_mining,ind_metals,russian_lang,forest,elev,dist_road,pop_density,dist_russia,yanukovych,rebel_violence,until_control
1,Katerynivka,Amvrosivskyi,Donetsk,47.69011,38.75174,0.0397902177630829,0.333447345418614,0.138600691673317,0.2661,1,0.0583090379008746,0.322097603234131,0.0128985660390171,0.00465553561249947,0.785255900189148,1,181
2,Vanyushkyne,Novoazovskyi,Donetsk,47.25389,38.26988,0.0167068273092369,5.89022757697456e-4,0.0698795180722892,0.461244444444444,1,0.174927113702624,0.0812317306930261,0.0162230061883576,0.0107696786874561,0.870780367997642,0,181
3,Svistuny,Amvrosivskyi,Donetsk,47.72639,38.40694,0.248802064135643,0.106524143015112,0.0673859866635392,0.447177777777778,1,0.285714285714286,0.0587134169190124,0.0158492955055854,0.0577601935983517,0.785255900189148,0,111
4,Samiylove,Novoazovskyi,Donetsk,47.25492,38.24353,0.0167068273092369,5.89022757697456e-4,0.0698795180722892,0.4644,1,0.221574344023324,0.139771922534066,0.0162230061883576,0.015045224543486,0.870780367997642,0,181
5,Urzuf,Pershotravnevyi,Donetsk,46.91562,37.09961,0.334610269365626,0.00213812544941997,0.370964765474365,0.587866666666667,1,0.0233236151603499,0.0193678386177988,0.0133024879628565,0.376880793942729,0.695797301565892,0,1650
6,Novo-Voznesenovka,Sverdlovskyi,Luhansk,48.0575,39.83111,0.0872306645497845,0.638489453390792,0.0261964164209571,0.623277777777778,1,0.839650145772595,0.0906942454104061,0.105199447851317,0.00890201819352735,0.706684732255394,0,111
7,Kurakhivka,Selydovska,Donetsk,48.03069,37.37281,0.0367919120329355,0.299911407577258,0.0556047735681901,0.412433333333333,0,0.580174927113703,0.0669849637408445,0.253204250486993,0.590596709119021,0.566840412099555,1,1650
8,Kovske,Novoazovskyi,Donetsk,47.23698,38.23959,0.0461295096188192,5.61310404653774e-4,0.0966984742562637,0.4644,1,0.166180758017493,0.033040939813722,0.0162165593486554,0.00602412346117596,0.870780367997642,0,181
9,Kotlyarivske,Telmanivskyi,Donetsk,47.47258,38.29102,0.0257263136011642,5.19723507094226e-4,0.033937945013253,0.201622222222222,1,0.204081632653061,0.115619513552766,0.0142400102764019,0.00477489199139509,0.738941720478722,0,181
10,Bilosarayska Kosa,Pershotravnevyi,Donetsk,46.90497,37.3466,0.336779135603208,0.00215202520943816,0.373369969000589,0.775288888888889,0,0,0.297374549690187,0.0133024879628565,0.247402406033563,0.695797301565892,0,1650
11,Druzhkivka,Kramatorska,Donetsk,48.63013,37.55259,0.227391006619493,0.0164574298105455,0.190481625199726,0.387588888888889,1,0.294460641399417,0.339423862436252,0.0815258157071538,0.736022025015962,0.464280461331748,1,44
12,Krasnopillya,Slovianskyi,Donetsk,48.98858,37.41287,0.205893338051149,0.0223506516482868,0.167679031275186,0.200855555555556,1,0.373177842565598,0.136747927818199,0.0128010504570626,0.633070836413888,0.790980338334592,0,1650
13,Zvirove,Krasnoarmiiskyi,Donetsk,48.25,37.13105,0.0298579893747446,0.44242950551696,0.0543778095627299,0.231833333333333,1,0.457725947521866,0.179086138656464,0.125398943372481,0.770697307131527,0.717762176416756,0,1650
14,Zvanivka,Artemivskyi,Donetsk,48.81554,38.07615,0.193388539692042,0.0393428447903156,0.0654827230702717,0.113555555555556,1,0.183673469387755,0.11755166958235,0.0136756582394491,0.6252661697199,0.848977184019286,0,73
15,Zuyivka,Shakhtarskyi,Donetsk,48.06056,38.25001,0.137739783769393,0.305954476210196,0.098657062990845,0.869144444444444,1,0.361516034985423,0.136899103970428,0.185578651596504,0.262763912386134,0.763419626334049,0,73
16,Zuhres,Shakhtarskyi,Donetsk,48.0114,38.26444,0.190415073029237,0.258130759555407,0.0946171419770516,0.839688888888889,1,0.335276967930029,0.0798765757647864,0.615880935732729,0.233859617502876,0.763419626334049,1,73
17,Zorynsk,Perevalskyi,Luhansk,48.41194,38.62361,0.075693374422188,0.226983821263482,0.229872881355932,0.458488888888889,1,0.772594752186589,0.17608508798147,0.0462046839783267,0.332395170451246,0.47747559624861,1,73
18,Zorynivka,Milovskyi,Luhansk,49.47443,40.02526,0.0286853110297961,1.96027182435964e-4,0.00163355985363303,0.225744444444444,0,0.583090379008746,0.471353763144168,0.00789007918975865,0.0722203585406596,0.339726881816556,0,1650
19,Zorino,Volnovaskyi,Donetsk,47.45,37.51667,0.329479332922799,0.00300989053801007,0.371844013522515,0.589611111111111,1,0.513119533527697,0.0734958306898875,0.025781362043158,0.406786158139213,0.635294730310898,0,185
20,Zorykivka,Milovskyi,Luhansk,49.3963,39.84056,0.0287849977050685,1.96708412563111e-4,0.00163923677135925,0.0952888888888889,1,0.332361516034985,0.0731641329870312,0.00794784559929213,0.0964282059066348,0.339726881816556,0,1650
21,Zori,Telmanivskyi,Donetsk,47.36936,38.19755,0.0168040071093876,5.92448968600205e-4,0.0702859912748425,0.192222222222222,1,0.0874635568513119,0.057715784463874,0.0111527062222944,0.0270186048011848,0.738941720478722,1,181
22,Zoloti Prudy,Oleksandrivskyi,Donetsk,48.73146,37.0242,0.127408240753762,0.343024891013922,0.076641822528477,0.112744444444444,1,0.501457725947522,0.0228944367450318,0.00969794308793301,0.869528865652631,0.583010255925014,1,1650
23,Zolotoy Kolodez,Dobropilskyi,Donetsk,48.53013,37.23558,0.0983551597695128,0.384850707176532,0.0878156102671556,0.0977777777777778,1,0.416909620991254,0.301829442674022,0.00945429755462812,0.816568968618529,0.423115736126204,0,73
