X,municipality,district,region,latitude,longitude,ind_machine,ind_mining,ind_metals,russian_lang,forest,elev,dist_road,pop_density,dist_russia,yanukovych,rebel_violence,until_control
24,Zolote,n.a. ( 182),Luhansk,48.69264,38.51459,0.135063467223092,0.587680403408103,0.0772474352286559,0.298255555555556,1,0.422740524781341,0.0854788073424094,0.177006345262358,0.502322311930389,0.725025176081231,1,74
25,Zolotarivka,Shakhtarskyi,Donetsk,48.00497,38.18781,0.140969765075701,0.301514024084676,0.101281681371581,0.685244444444444,1,0.620991253644315,0.118108995024638,0.234481309464331,0.244996787331934,0.763419626334049,0,73
26,Zolota Nyva,Velykonovosilkivskyi,Donetsk,47.79425,36.99047,0.0305380209857447,0.239099535972576,0.044688767192007,0.262188888888889,1,0.355685131195335,0.0363900938053456,0.0109900249450225,0.746967242646914,0.420830762974018,0,1650
27,Zolotarivka,Popasnianskyi,Luhansk,48.87797,38.27219,0.231946613658952,0.324464006815278,0.309583984097686,0.206922222222222,1,0.513119533527697,0.0544620045898242,0.0164436329540436,0.603463848038084,0.817865903340816,0,111
28,Znamenivka,Oleksandrivskyi,Donetsk,48.66569,36.72986,0.0319064875616468,0.40077927031961,0.0579548241192338,0.148833333333333,1,0.291545189504373,0.0425201862865892,0.00903545344725007,0.882910952719378,0.583010255925014,0,1650
29,Znamenivka,Volnovaskyi,Donetsk,47.43121,37.44371,0.33507029916306,0.00306260110100189,0.373215347531697,0.537044444444444,1,0.498542274052478,0.156464248892123,0.025781362043158,0.445568221170473,0.635294730310898,0,185
30,Znamenka,Slovianskyi,Donetsk,48.85,37.36667,0.203714250844148,0.0146861397013954,0.171860379968268,0.2108,1,0.355685131195335,0.176773311500888,0.0128010504570626,0.712952840048388,0.790980338334592,0,1650
31,Znamenka,Slovianoserbskyi,Luhansk,48.74537,38.90657,0.341628915662651,0.0567710843373494,0.313272289156627,0.646888888888889,1,0.227405247813411,0.0209815478871351,0.0239955240549149,0.429262190075913,0.524348989732917,0,73
32,Znamenka,Lutuhynskyi,Luhansk,48.46194,39.26056,0.162402728637432,0.0139985890016391,0.0625666378455222,0.425166666666667,1,0.206997084548105,0.154233289422126,0.19471424817247,0.240427452106642,0.571983058335003,0,73
33,Zlatoustivka,Volnovaskyi,Donetsk,47.49058,37.32669,0.324226629244672,0.00312124109428492,0.359596582672794,0.460266666666667,1,0.524781341107872,0.48992242748355,0.025781362043158,0.506384580262853,0.635294730310898,0,1650
34,Cherkasskoye,Slovianoserbskyi,Luhansk,48.58528,38.9375,0.411277103919824,0.031096333067953,0.358965953261837,0.536933333333333,1,0.163265306122449,0.0900035313606111,0.0239955240549149,0.401752664204142,0.524348989732917,1,73
35,Zhuravske,Milovskyi,Luhansk,49.25767,40.07262,0.173205839316705,0.0680913329023037,0.00452581073263688,0.220777777777778,1,0.551020408163265,0.667726150126393,0.00794784559929213,0.0312778020820232,0.339726881816556,0,1650
36,Zhuravlevka,Antratsytivskyi,Luhansk,48.22417,38.98389,0.201560301828878,0.147205525003197,0.137869292748433,0.637666666666667,1,0.935860058309038,0.304680958237224,0.0101495071254758,0.201586282856,0.839626822452335,0,73
37,Zhuravka,Krasnoarmiiskyi,Donetsk,48.22527,37.36917,0.0350839953908666,0.350203165746862,0.0643156043422888,0.316111111111111,0,0.58600583090379,0.206859457012174,0.0113674289316112,0.650039265631645,0.717762176416756,0,1650
38,Zhuki,Starobeshivskyi,Donetsk,47.63889,38.13833,0.187533729087965,0.00666872253488551,0.0251715365045101,0.635988888888889,1,0.419825072886297,0.0472676658453369,0.0185296071461969,0.105967866800739,0.80054370701652,0,182
39,Makedonivka,Volodarskyi,Donetsk,47.24343,37.55434,0.343786287386258,0.00313588621587755,0.38293894206483,0.832422222222222,1,0.250728862973761,0.112566063373657,0.366129275351383,0.328482649334574,0.826443268947218,1,1650
40,Zhytlivka,Kreminskyi,Luhansk,49.09967,38.18907,0.132336406566224,1.12435349673937e-4,0.202833370811783,0.336977777777778,1,0.17201166180758,0.0587701058755572,0.0141187849676078,0.472644846203921,0.494515167056929,0,1650
41,Zhytenko,Amvrosivskyi,Donetsk,47.80138,38.6887,0.0978036754818467,0.434005677573584,0.24201404452413,0.299322222222222,1,0.338192419825073,0.167042194073423,0.0158492955055854,0.0579157658844598,0.785255900189148,0,181
42,Zhovte,Slovianoserbskyi,Luhansk,48.64806,39.11194,0.165238155722088,0.0147288200177823,0.0603226216181887,0.569833333333333,1,0.157434402332362,0.244862014466116,0.0239955240549149,0.307932957174823,0.524348989732917,1,73
43,Zhovte,Krasnoarmiiskyi,Donetsk,48.18591,37.14652,0.0349334529684462,0.343801405712577,0.0633168835053088,0.126511111111111,1,0.396501457725948,0.231416152415203,0.0154862820125844,0.744754791531845,0.717762176416756,1,1650
44,Zheleznoye,Dzerzhynska,Donetsk,48.31667,37.85,0.197789243820898,0.435252285156627,0.113861673140472,0.556655555555556,1,0.34402332361516,0.135219362675288,0.21517834304074,0.493811082268603,0.929510595268589,0,111
45,Zheleznaya Balka,Horlivska,Donetsk,48.31927,37.96723,0.197280483811945,0.433793648042218,0.112613393424626,0.761622222222222,0,0.495626822157434,0.17015979985233,0.354250405852965,0.45959121653441,0.76463390200814,0,74
46,Zhelanne,Iasynuvatskyi,Donetsk,48.20849,37.43519,0.0365406466274145,0.297205867162483,0.0563474847639707,0.440888888888889,0,0.577259475218659,0.0189143810413971,0.0122733121273511,0.614285253891481,0.782736217914638,0,1650
47,Zhelanne Druhe,Marnskyi,Donetsk,48.05782,37.41555,0.0366097124633773,0.298374342088206,0.0554331198631025,0.475988888888889,1,0.364431486880467,0.202464785063255,0.141124832927328,0.577183006996607,0.623945768791402,0,1650
48,Zhelanne Pershe,Marnskyi,Donetsk,48.07317,37.42363,0.0366116109627402,0.298389815126922,0.0554359945030726,0.466822222222222,1,0.41399416909621,0.212277447114267,0.0276430375601882,0.57779028665904,0.623945768791402,0,1650
49,Zhdanivka,n.a. ( 488),Donetsk,48.16155,38.23663,0.231793213796744,0.155914421919074,0.134536397077017,0.731777777777778,0,0.618075801749271,0.00685242813233549,0.276336297383575,0.319837504760221,0.732689325874318,1,73
50,Zernove,Telmanivskyi,Donetsk,47.40386,38.09707,0.0168439237704475,5.938562867786e-4,0.0704529503860066,0.220511111111111,1,0.294460641399417,0.0963095257254203,0.0111527062222944,0.0857904646030022,0.738941720478722,0,181
51,Zemlyane,Luhanska,Luhansk,48.62776,39.21483,0.163234056785697,0.0137914095040005,0.0619960177892982,0.553544444444445,1,0.489795918367347,0.224847829042039,0.0239955240549149,0.249473658341024,0.0947032962654456,0,73
52,Zemlyanky,Makivska,Donetsk,48.1295,37.91331,0.183535654704859,0.286755049160544,0.0901217477726902,0.657977777777778,1,0.533527696793003,0.161097243427111,0.190688745108516,0.388352370652605,0.904834844920207,1,73
53,Zelekivka,Bilovodskyi,Luhansk,49.18493,39.84082,0.290879464482318,0.392522129739728,0.0129915884969393,0.110488888888889,1,0.180758017492711,0.0471102862863363,0.00727279666543333,0.0652895815157331,0.20129804423142,0,1650
54,Zelenyy Yar,Volodarskyi,Donetsk,47.20298,37.0521,0.327709417152114,0.0022553814522912,0.363203638515934,0.264088888888889,0,0.346938775510204,0.194325988833553,0.0114816036037694,0.479345451346502,0.826443268947218,0,185
55,Zelenyy Kut,Velykonovosilkivskyi,Donetsk,48.02235,36.8934,0.037674779906784,0.278773951320559,0.0684554634904195,0.395388888888889,1,0.291545189504373,0.0138632222903233,0.0109900249450225,0.837006124538686,0.420830762974018,1,1650
56,Zelenyy Hay,Telmanivskyi,Donetsk,47.41836,38.25787,0.0335801393728223,4.35540069686411e-4,0.0284843205574913,0.195144444444444,1,0.139941690962099,0.265492819673891,0.0111527062222944,0.0257408159492932,0.738941720478722,0,181
57,Zelenyy,Starobilskyi,Luhansk,49.38694,39.12778,0.0252707581227437,2.35441845864072e-4,0.00384555014911316,0.132955555555556,1,0.419825072886297,0.54508717885207,0.0137014788784036,0.229171528580704,0.128422282639627,1,1650
58,Zelene,Oleksandrivskyi,Donetsk,48.76205,36.78368,0.0294697844495766,0.357606812933025,0.053598922247883,0.147088888888889,1,0.370262390670554,0.339355131217273,0.00972132397523521,0.830586590317289,0.583010255925014,1,1650
59,Zelene,Krasnoarmiiskyi,Donetsk,48.21458,37.19029,0.0357557961705512,0.343335168532452,0.0647519422524011,0.1359,1,0.416909620991254,0.198879805714849,0.0113674289316112,0.731751795958136,0.717762176416756,1,1650
60,Khutor Zelenyy,Marnskyi,Donetsk,48.01667,37.45,0.056309208033346,0.111481621826449,0.0250094732853353,0.358655555555556,0,0.373177842565598,0.355851344102357,0.0276430375601882,0.54867913981907,0.623945768791402,1,1650
61,Zelene Pole,Velykonovosilkivskyi,Donetsk,47.82692,36.62249,0.0318689621674132,0.275648982675806,0.0570726968535809,0.157077777777778,1,0.448979591836735,0.0778265221094963,0.0110685470722498,0.895576431235101,0.420830762974018,0,1650
62,Zelene,Amvrosivskyi,Donetsk,47.94552,38.17179,0.14551860225448,0.310721960806244,0.104878847674818,0.698077777777778,0,0.533527696793003,0.0452033293589196,0.0321610424107473,0.219183963483741,0.785255900189148,1,73
63,Zelenopillya,Sverdlovskyi,Luhansk,47.92045,39.48381,0.0678367530103962,0.725486774201591,0.00164543392086958,0.191644444444444,1,0.641399416909621,0.0809986286930211,0.00510276237128887,0.0349826259743707,0.706684732255394,0,73
64,Zelena Dolyna,Krasnolymanskyi,Donetsk,49.13204,37.80346,0.0948974161887306,0.0451132265121504,0.096257316856855707,0.1624,1,0.411078717201166,0.168761439235038,0.00989235539960415,0.46479732910579,0.69637274041445,0,1650
65,Zaytseve,Artemivskyi,Donetsk,48.5257,38.07145,0.233588200696738,0.0525720490431163,0.068904673573723,0.214288888888889,1,0.381924198250729,0.292176461531663,0.0136756582394491,0.543210076008731,0.848977184019286,1,73
66,Zaytseve,Horlivska,Donetsk,48.39455,38.02965,0.102804384660604,0.393893288149659,0.118762751132473,0.589455555555556,0,0.498542274052478,0.0771503404723998,0.353275963179404,0.482188260586366,0.76463390200814,1,73
67,Zayikivka,Bilokurakynskyi,Luhansk,49.45417,38.76275,0.0180465628874501,0.244041879046701,0.00358176057308169,0.0515555555555555,1,0.209912536443149,0.471296749964319,0.00709267976121869,0.224261181094172,0,0,1650
68,Zayichenko,Novoazovskyi,Donetsk,47.18083,37.86137,0.330881429181638,0.00300886956958717,0.374406392120405,0.360888888888889,1,0.139941690962099,0.0409929429468711,0.0162230061883576,0.211578117525551,0.870780367997642,1,185
69,Zayachiy,Kostiantynivskyi,Donetsk,48.33333,37.45,0.108581597984607,0.313795733468926,0.0976494788175746,0.259022222222222,1,0.533527696793003,0.00863939690743238,0.0112764774622541,0.65234065115275,0.676546093463159,0,111
70,Zavodyanka,Bilokurakynskyi,Luhansk,49.61742,38.81204,0.0184456801844568,0.240268547402685,0.00318730503187305,0.0763333333333333,1,0.431486880466472,0.38066009896876,0.00709267976121869,0.1301926139166,0,0,1650
71,Koloniya,Mariupolska,Donetsk,47.13799,37.5989,0.348053082479422,0.00225768520073912,0.388066521081808,0.631555555555556,1,0.151603498542274,0.0645476739589387,0.939437081988689,0.264273008116073,0.443696805288616,1,45
72,Zavitne Bazhannya,Velykonovosilkivskyi,Donetsk,47.72046,36.81878,0.0302945086409653,0.292079967276818,0.054146640760814,0.254733333333333,1,0.335276967930029,0.1139386734267,0.0109900249450225,0.776251295748285,0.420830762974018,0,1650
73,Zavydo-Kudasheve,Dobropilskyi,Donetsk,48.46388,36.93722,0.0318466140875714,0.404133804732119,0.0578460701658961,0.0505111111111111,1,0.335276967930029,0.154016372103797,0.00945429755462812,0.927345968844981,0.423115736126204,0,1650
74,Zavydo-Borzenka,Dobropilskyi,Donetsk,48.51234,36.93029,0.0318466140875714,0.404133804732119,0.0578460701658961,0.0587222222222222,1,0.524781341107872,0.21734920750894,0.00947654374743013,0.9458546630716,0.423115736126204,0,1650
75,Zatyshne,Volnovaskyi,Donetsk,47.52055,37.3251,0.0490451793199814,0.00903586399627387,0.0262226362366092,0.3632,1,0.513119533527697,0.35122686049655,0.025781362043158,0.520813996308263,0.635294730310898,0,1650
76,Zaporozhye,Antratsytivskyi,Luhansk,48.27361,38.71939,0.336545163803354,0.0696830538357456,0.345914141621223,0.467055555555556,0,0.877551020408163,0.239182167352613,0.024719449637415,0.241196889790557,0.839626822452335,0,73
77,Zaporizhzhya,Krasnoarmiiskyi,Donetsk,48.10348,36.9935,0.0388249040227007,0.287531296945418,0.0706059088632949,0.204011111111111,1,0.475218658892128,0.572289446905819,0.0113674289316112,0.801150867258965,0.717762176416756,0,1650
78,Urochishche Zaporozhye,Marnskyi,Donetsk,47.81745,37.1602,0.0316668797681456,0.243766781741465,0.0455610961940076,0.189766666666667,1,0.510204081632653,0.193067922998454,0.0276430375601882,0.659451295974697,0.623945768791402,0,1650
79,Zaporozhets,Telmanivskyi,Donetsk,47.37342,37.9732,0.0468774253634811,0.00791638640244218,0.0962901640192477,0.403288888888889,1,0.311953352769679,0.28260349013688,0.0116004026314466,0.14578986603852,0.738941720478722,0,181
80,Zaparo-Maryivka,Oleksandrivskyi,Donetsk,48.80075,37.0464,0.1271132935812,0.342195720799719,0.0764643984566819,0.113666666666667,1,0.483965014577259,0.0970163818642259,0.00972083824358115,0.834768491871678,0.583010255925014,0,1650
81,Zakhidne,Lutuhynskyi,Luhansk,48.4,39.05306,0.171050865655617,0.159173265333512,0.105422090994497,0.354722222222222,1,0.323615160349854,0.309865313906473,0.0300884151418908,0.302002881528775,0.571983058335003,0,73
82,Chermalyk,Telmanivskyi,Donetsk,47.31595,37.80865,0.330267406501771,0.00300322894134612,0.373704504843412,0.267066666666667,1,0.198250728862974,0.0326552624426754,0.0114916161733953,0.23462383137384701,0.738941720478722,1,185
83,Zamostya,Slovianoserbskyi,Luhansk,48.57194,39.06361,0.165051834836856,0.014834528224562,0.0602387084043775,0.442433333333333,1,0.169096209912536,0.302070238209473,0.0242153822077062,0.335781202690644,0.524348989732917,0,73
84,Zamkovka,Perevalskyi,Luhansk,48.46667,38.68333,0.363685884865124,0.0570444938336166,0.368087331677343,0.567288888888889,0,0.513119533527697,0.0876398519342601,0.165365000919927,0.351386828556981,0.47747559624861,0,73
85,Zalyman,Kreminskyi,Luhansk,49.26203,38.16881,0.136585988344889,8.5073801522821e-5,0.196903313624569,0.1101,0,0.198250728862974,0.206186213597323,0.0141187849676078,0.380534189883182,0.494515167056929,0,1650
86,Zalesnoye,Snizhnenska,Donetsk,48.03104,38.80934,0.0300041528239203,0.455357142857143,0.142960963455149,0.832533333333333,0,0.801749271137026,0.0665982083864375,0.20165123786422,0.0960076310080205,0.866193917809335,0,111
87,Zakotne,Novopskovskyi,Luhansk,49.46831,38.97365,0.0239316239316239,2.22965440356745e-4,0.00364176885916016,0.0440777777777778,1,0.180758017492711,0.494502026738215,0.010089721720421,0.188600357190224,0.134954227286366,1,1650
88,Zakotnoye,Krasnolymanskyi,Donetsk,48.89702,37.9652,0.167591504250608,0.0419593800399092,0.0659322636197141,0.133533333333333,1,0.276967930029155,0.00381692862924412,0.0099016326364813,0.580137294734773,0.69637274041445,1,1650
89,Zakharivka,Pershotravnevyi,Donetsk,47.13976,36.98339,0.328069157794286,0.00225785728096601,0.363602342682858,0.276288888888889,1,0.212827988338192,0.0139844603781828,0.0121425694891983,0.491271868359923,0.695797301565892,0,1650
90,Zaaydarivka,Novopskovskyi,Luhansk,49.58507,39.0971,0.0247050439464724,2.37548499485312e-4,0.00372159315860321,0.0766777777777778,1,0.212827988338192,0.031703757739207,0.010089721720421,0.133456706162587,0.134954227286366,0,1650
91,Zadorozhnyy,Amvrosivskyi,Donetsk,47.7,38.43333,0.193172782006134,0.33494263319323,0.174296641296528,0.4066,1,0.387755102040816,0.102536812116424,0.0158492955055854,0.0378778270374464,0.785255900189148,0,111
92,Zachativka,Volnovaskyi,Donetsk,47.49823,37.15178,0.0462287104622871,0.0193793486148461,0.0239894139241047,0.442622222222222,1,0.422740524781341,0.026577016829323,0.0250452654358515,0.561009463469161,0.635294730310898,0,1650
93,Yuzhna Lomuvatka,Perevalskyi,Luhansk,48.43824,38.53022,0.252087851818612,0.251564330765587,0.0249794331014883,0.501677777777778,1,0.932944606413994,0.118561008475641,0.0495568092471795,0.367768614759916,0.47747559624861,0,73
94,Shcheglovka,Lutuhynskyi,Luhansk,48.50452,38.97841,0.357035806869734,0.0710669151004537,0.312337977965003,0.465088888888889,1,0.227405247813411,0.0469588497767999,0.0277537051388704,0.359187714302822,0.571983058335003,0,73
95,Yuryivka,Dobropilskyi,Donetsk,48.38563,36.90043,0.0316281331028522,0.399902765773552,0.0574492221261884,0.0558555555555555,1,0.323615160349854,0.223280640570908,0.00948824251111772,0.92164848574105,0.423115736126204,0,1650
96,Yuryivka,Pershotravnevyi,Donetsk,46.9359,37.19444,0.33602366984906,0.00214715693416663,0.372531728077911,0.748355555555556,0,0.043731778425656,0.062897575605367,0.0133024879628565,0.331760656613938,0.695797301565892,0,1650
97,Yurkovka,Trotskyi,Luhansk,49.83333,38.15,0.0746268656716418,0.175051892853613,0.0548581595334585,0.743711111111111,1,0.489795918367347,0.0671158009696346,0.00691521338291403,0.0599713882490205,0.705788479594337,0,1650
98,Yurkivka,Slovianskyi,Donetsk,48.77629,37.80132,0.214302894251583,0.0297843341617895,0.211336486811513,0.210555555555556,1,0.615160349854227,0.0238015023672696,0.0129354776828032,0.660158380031374,0.790980338334592,0,73
99,Yurkovka,Lutuhynskyi,Luhansk,48.38333,38.96667,0.36833933796453,0.0682935567985032,0.338024244113139,0.213566666666667,1,0.431486880466472,0.552463852203626,0.0300884151418908,0.290600310304434,0.571983058335003,0,73
100,Yunokomunarivsk,Ienakiievska,Donetsk,48.22225,38.2717,0.180476015341775,0.172148373876951,0.00312614931960279,0.642544444444444,1,0.559766763848397,0.0306162797403839,0.245330637045638,0.346301782934503,0.983211534824794,1,73
101,Yuvileyne,Lutuhynskyi,Luhansk,48.56067,39.1886,0.163229683825451,0.0137914815782597,0.0619963417820747,0.476466666666667,1,0.294460641399417,0.0312042133376426,0.282366203417177,0.26622614261455,0.571983058335003,0,73
102,Yezhachiy,Milovskyi,Luhansk,49.305,40.09389,0.302265518803806,0.268373357498867,0.00113275940190303,0.235233333333333,1,0.329446064139942,0.411099043181421,0.00794784559929213,0.0456216922755978,0.339726881816556,0,1650
103,Yevsuh,Bilovodskyi,Luhansk,49.20434,39.31198,0.0274217919301584,1.67888522021378e-4,0.0030219933963848,0.113822222222222,1,0.282798833819242,0.00341747436623059,0.00727279666543333,0.220390732548881,0.20129804423142,1,1650
104,Evhenivka,Velykonovosilkivskyi,Donetsk,47.67018,37.08529,0.0154405086285195,0.123028651639006,0.0011559739080175,0.176711111111111,0,0.498542274052478,0.0848650375940636,0.017129828359644,0.662342613593779,0.420830762974018,0,1650
105,Yesaulivka,Antratsytivskyi,Luhansk,48.05115,39.02372,0.210280373831776,0.100093457943925,0.0668224299065421,0.480988888888889,1,0.236151603498542,0.0641571918972369,0.235585880678113,0.104824611231959,0.839626822452335,0,73
106,Yepifanivka,Kreminskyi,Luhansk,49.08163,38.57758,0.204973531946325,4.30875292379663e-4,0.324756863227871,0.0873777777777778,1,0.201166180758017,0.0287071715498615,0.0141187849676078,0.459021590759079,0.494515167056929,0,1650
107,Yenakiyeve,Ienakiievska,Donetsk,48.23331,38.21137,0.179703413222669,0.175382155298776,0.151034627172527,0.644611111111111,1,0.606413994169096,0.0788377426460528,0.33336632188181903,0.362585975307818,0.983211534824794,1,45
108,Yelizavetovka,Oleksandrivskyi,Donetsk,48.7,37.2,0.129901785074199,0.349702487633522,0.0781418022797333,0.179577777777778,1,0.524781341107872,0.0403860283430223,0.00969431238248622,0.835247120872498,0.583010255925014,0,1650
109,Yelyzavetivka,Marnskyi,Donetsk,47.88752,37.2997,0.0318409253362792,0.24955054476141,0.0463317954383001,0.180577777777778,1,0.36734693877551,0.0425059091705603,0.0276430375601882,0.59547428965106,0.623945768791402,0,1650
110,Yelyzaveto-Mykolayivka,Amvrosivskyi,Donetsk,47.82644,38.34206,0.223553073967339,0.095821325648415,0.137818203650336,0.361055555555556,1,0.457725947521866,0.192524681468497,0.0158492955055854,0.122669451636043,0.785255900189148,1,73
111,Yelenovskiy,Starobeshivskyi,Donetsk,47.74333,38.14222,0.21509987910886,0.0833285360658569,0.117609809452536,0.506066666666667,1,0.300291545189504,0.208731104063287,0.018529366261331,0.139807883607386,0.80054370701652,0,73
112,Katerynivka,Oleksandrivskyi,Donetsk,48.58464,36.88601,0.0317628231209483,0.400439417365123,0.0576938725689641,0.0424444444444444,1,0.346938775510204,0.0161463300332082,0.00969431238248622,0.936481325403369,0.583010255925014,0,1650
113,Yekaterinovka,Perevalskyi,Luhansk,48.44083,38.43972,0.301852509346087,0.211169357365134,0.023516634990915,0.242833333333333,1,0.644314868804665,0.455026256302745,0.0462045191623657,0.39543341088619,0.47747559624861,0,73
114,Katerynivka,Kostiantynivskyi,Donetsk,48.41852,37.75665,0.0280323142359624,0.617167651508664,0.0799577517056322,0.122211111111111,0,0.434402332361516,0.338138266048972,0.00705529823346703,0.5712580515334,0.676546093463159,0,111
115,Katerynivka,Marnskyi,Donetsk,47.87464,37.34466,0.0327333290628403,0.246001750902142,0.0460999722417953,0.112144444444444,1,0.393586005830904,0.0242570966908521,0.0276430375601882,0.5691374068547,0.623945768791402,1,1650
116,Yekaterino-Khoprov,Starobeshivskyi,Donetsk,47.6,38.26667,0.190717676173476,4.05695971439004e-4,0.0264919469349669,0.448444444444444,1,0.215743440233236,0.0304478753666452,0.0185296071461969,0.0329637191886934,0.80054370701652,0,181
117,Yehorivka,Antratsytivskyi,Luhansk,47.98047,39.19135,0.0232230282213621,0.782226437341399,8.71504370338092e-4,0.362811111111111,1,0.244897959183673,0.174776998602461,0.0101495071254758,0.0674549134067995,0.839626822452335,0,113
118,Ehorivka,Volnovaskyi,Donetsk,47.70757,37.2232,0.0174386049116071,0.123070154387649,0.00175985921126309,0.262277777777778,1,0.516034985422741,0.0208737249826782,0.025781362043158,0.606823302874128,0.635294730310898,0,1650
